i,j,k,Alt_Si3N4,Anc_Si3N4,lambda,n_eff,A_eff,lambda_nm
1,9,8,0.8666666666666667,1.8333333333333333,1.035,1.9351449529289093,9.473347947919555e-13,1035.0
1,9,9,0.9333333333333333,1.8333333333333333,1.035,1.9417995318661987,1.0030131948319735e-12,1035.0
1,9,10,1.0,1.8333333333333333,1.035,1.9473212799456137,1.058511608715355e-12,1035.0
1,10,1,0.4,2.0,1.035,1.816156089223965,6.409190341607401e-13,1035.0
1,10,2,0.4666666666666667,2.0,1.035,1.8493728748656595,6.874697309921406e-13,1035.0
1,10,3,0.5333333333333333,2.0,1.035,1.8744891288815337,7.392774491440589e-13,1035.0
1,10,4,0.6000000000000001,2.0,1.035,1.8936065668338546,7.937549235647115e-13,1035.0
1,10,5,0.6666666666666667,2.0,1.035,1.9086864264374686,8.50467053681676e-13,1035.0
1,10,6,0.7333333333333334,2.0,1.035,1.920577867898733,9.078876707373119e-13,1035.0
1,10,7,0.8,2.0,1.035,1.930293085808765,9.668586822388858e-13,1035.0
1,10,8,0.8666666666666667,2.0,1.035,1.9382187940744757,1.0261220824243865e-12,1035.0
1,10,9,0.9333333333333333,2.0,1.035,1.9448639747167231,1.086505082031748e-12,1035.0
1,10,10,1.0,2.0,1.035,1.9503772925513445,1.1466644641651336e-12,1035.0
2,1,1,0.4,0.5,1.0459183673469388,1.5873360089585624,3.31732012792171e-13,1045.9183673469388
2,1,2,0.4666666666666667,0.5,1.0459183673469388,1.620038148452963,3.403329611943804e-13,1045.9183673469388
2,1,3,0.5333333333333333,0.5,1.0459183673469388,1.645920109381565,3.564048073537306e-13,1045.9183673469388
2,1,4,0.6000000000000001,0.5,1.0459183673469388,1.6659542994893493,3.754431021777129e-13,1045.9183673469388
2,1,5,0.6666666666666667,0.5,1.0459183673469388,1.6818601190799214,3.9631958898376187e-13,1045.9183673469388
2,1,6,0.7333333333333334,0.5,1.0459183673469388,1.6947014941666931,4.1893573118404637e-13,1045.9183673469388
2,1,7,0.8,0.5,1.0459183673469388,1.7052417178057648,4.425395681078332e-13,1045.9183673469388
2,1,8,0.8666666666666667,0.5,1.0459183673469388,1.7138222620462653,4.66378998843093e-13,1045.9183673469388
2,1,9,0.9333333333333333,0.5,1.0459183673469388,1.721144962440808,4.914230572429509e-13,1045.9183673469388
2,1,10,1.0,0.5,1.0459183673469388,1.7272242885168352,5.164486751238075e-13,1045.9183673469388
2,2,1,0.4,0.6666666666666666,1.0459183673469388,1.6851441820014472,3.1628507388434913e-13,1045.9183673469388
2,2,2,0.4666666666666667,0.6666666666666666,1.0459183673469388,1.7193395483943243,3.32086836073328e-13,1045.9183673469388
2,2,3,0.5333333333333333,0.6666666666666666,1.0459183673469388,1.7455931367005515,3.5237528345597105e-13,1045.9183673469388
2,2,4,0.6000000000000001,0.6666666666666666,1.0459183673469388,1.7656997012944375,3.7473121773513376e-13,1045.9183673469388
2,2,5,0.6666666666666667,0.6666666666666666,1.0459183673469388,1.7816123458137243,3.9855951670290347e-13,1045.9183673469388
2,2,6,0.7333333333333334,0.6666666666666666,1.0459183673469388,1.7942580697426747,4.2333560965994376e-13,1045.9183673469388
2,2,7,0.8,0.6666666666666666,1.0459183673469388,1.804609216085505,4.490014399830851e-13,1045.9183673469388
2,2,8,0.8666666666666667,0.6666666666666666,1.0459183673469388,1.813056024914917,4.749128124995361e-13,1045.9183673469388
2,2,9,0.9333333333333333,0.6666666666666666,1.0459183673469388,1.8201769558672725,5.016302697473112e-13,1045.9183673469388
2,2,10,1.0,0.6666666666666666,1.0459183673469388,1.8260883316082208,5.283130537501439e-13,1045.9183673469388
2,3,1,0.4,0.8333333333333333,1.0459183673469388,1.734560540708087,3.3755436251990303e-13,1045.9183673469388
2,3,2,0.4666666666666667,0.8333333333333333,1.0459183673469388,1.7688342189684525,3.5779067980650993e-13,1045.9183673469388
2,3,3,0.5333333333333333,0.8333333333333333,1.0459183673469388,1.7948459246514108,3.814961389681236e-13,1045.9183673469388
2,3,4,0.6000000000000001,0.8333333333333333,1.0459183673469388,1.8147467468631355,4.0725566132535763e-13,1045.9183673469388
2,3,5,0.6666666666666667,0.8333333333333333,1.0459183673469388,1.8305038281404886,4.3459031601459783e-13,1045.9183673469388
2,3,6,0.7333333333333334,0.8333333333333333,1.0459183673469388,1.8429311072054642,4.624167241573359e-13,1045.9183673469388
2,3,7,0.8,0.8333333333333333,1.0459183673469388,1.853114078356363,4.91243567200007e-13,1045.9183673469388
2,3,8,0.8666666666666667,0.8333333333333333,1.0459183673469388,1.8614410526777911,5.204171198517029e-13,1045.9183673469388
2,3,9,0.9333333333333333,0.8333333333333333,1.0459183673469388,1.8684145021756196,5.50143183543241e-13,1045.9183673469388
2,3,10,1.0,0.8333333333333333,1.0459183673469388,1.8742136146363557,5.798837114212458e-13,1045.9183673469388
2,4,1,0.4,1.0,1.0459183673469388,1.762910710573568,3.727915714010226e-13,1045.9183673469388
2,4,2,0.4666666666666667,1.0,1.0459183673469388,1.7969429372383878,3.9659863247296933e-13,1045.9183673469388
2,4,3,0.5333333333333333,1.0,1.0459183673469388,1.8227901382100336,4.2423538733774924e-13,1045.9183673469388
2,4,4,0.6000000000000001,1.0,1.0459183673469388,1.8425118353655263,4.537822016560749e-13,1045.9183673469388
2,4,5,0.6666666666666667,1.0,1.0459183673469388,1.8580878351411863,4.848070757862008e-13,1045.9183673469388
2,4,6,0.7333333333333334,1.0,1.0459183673469388,1.8703980335297,5.164901593954011e-13,1045.9183673469388
2,4,7,0.8,1.0,1.0459183673469388,1.8804665924028778,5.491507886055627e-13,1045.9183673469388
2,4,8,0.8666666666666667,1.0,1.0459183673469388,1.8886829399730225,5.820410250323562e-13,1045.9183673469388
2,4,9,0.9333333333333333,1.0,1.0459183673469388,1.8955825868421663,6.156777605892018e-13,1045.9183673469388
2,4,10,1.0,1.0,1.0459183673469388,1.9013104962851242,6.492355713213004e-13,1045.9183673469388
2,5,1,0.4,1.1666666666666665,1.0459183673469388,1.7802012830430067,4.132020263125538e-13,1045.9183673469388
2,5,2,0.4666666666666667,1.1666666666666665,1.0459183673469388,1.8141002393488366,4.407250988407112e-13,1045.9183673469388
2,5,3,0.5333333333333333,1.1666666666666665,1.0459183673469388,1.8398100054693598,4.722052467715029e-13,1045.9183673469388
2,5,4,0.6000000000000001,1.1666666666666665,1.0459183673469388,1.8594136730165918,5.056715338059886e-13,1045.9183673469388
2,5,5,0.6666666666666667,1.1666666666666665,1.0459183673469388,1.8748944358545605,5.407193829818505e-13,1045.9183673469388
2,5,6,0.7333333333333334,1.1666666666666665,1.0459183673469388,1.8871205105350393,5.764052460018614e-13,1045.9183673469388
2,5,7,0.8,1.1666666666666665,1.0459183673469388,1.8971173920232374,6.131445708901852e-13,1045.9183673469388
2,5,8,0.8666666666666667,1.1666666666666665,1.0459183673469388,1.905276573075655,6.501238905954674e-13,1045.9183673469388
2,5,9,0.9333333333333333,1.1666666666666665,1.0459183673469388,1.9121243546012152,6.878915121740237e-13,1045.9183673469388
2,5,10,1.0,1.1666666666666665,1.0459183673469388,1.9178084970204685,7.255530434705878e-13,1045.9183673469388
2,6,1,0.4,1.3333333333333333,1.0459183673469388,1.7916107504130676,4.56726696342649e-13,1045.9183673469388
2,6,2,0.4666666666666667,1.3333333333333333,1.0459183673469388,1.8254170338588283,4.880930245865364e-13,1045.9183673469388
